Costume collections from the Royal Pavilion and Museums, Brighton & Hove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;
"CT003993,Costume,Costume,,Same Sky,2000,,,,,,,""Burning of the Clocks Lantern Costume: Made and worn by Nicola Gunson, an artist with Same Sky for the Burning of the Clocks, Brighton New Years Eve 2000. Uniquely this outfit is not burnt in the traditional Burning of the Clocks finale."",dmas_ct003993_d01_cc1024.jpg";;;;;;;;
CT003998,Costume,Gloves,,Romeo Gigli,1990-2000,,,,Italian,Wool; Lycra; Mirror;" Metal,,""This is a pair of gloves designed by Romeo Gigli in Italy in circa 1990-2000. ";;;;;
These elbow length gloves are made from brown wool and lycra mix covered in tiny black bead.  They are decorated with red beadwork in a striking design of zigzags and triangles and have a large mirror sewn onto the back of each hand. ;;;;;;;;
"These gloves with their vivid beadwork and mirror decoration are an example of Romeo Gigli_s craftsmanship, for which he is well known. A seasoned traveller Gigli's designs are often influenced by international styles. He launched his first collection in Italy in1985."",dmas_ct003998_d01_cc1024.jpg";;;;;;;;
CT004032,Costume,Evening Coat,,F J L Wilson,1924,,,,,Animal fur;" Silk,,""This evening coat was worn by Maud Messel. It is made of dark red and gilt tissue brocade, figured with large clusters of art deco, oriental-inspired floral motifs.  The Chinoiserie (Western interpretations of Chinese styles) was especially evident in the patterning of fashionable 1920s textiles.  Exotic floral, latticework and dragon motifs were all popular. This coat is in a fashionable 1920s style. It is full length, with a high standing collar, deep cuffs and hem of reddish brown, possibly monkey fur. The coat slightly crosses over at the front and fastens with two large buttons. It is lined throughout with dark red silk.  It is designed by J & F P Wilson, of London and dates from 1924.   ";;;;;;;
"This coat is part of the Messel Dress Collection, which includes six generations of one family_s clothes dating from 1870 - 2005."",dmas_ct004032_d01_cc1024.jpg";;;;;;;;
CT004040,Costume,Evening Dress,,John Cavanagh; Oliver Messel;" Sekers,1953,,,,,Silk,,""This evening dress was worn by Anne, Countess of Rosse at Queen Elizabeth's Coronation Ball in 1953. It is made of cream and gold silk brocaded with an acorn motif.  The fabric is one of six commemorative designs created by Anne_s brother Oliver Messel for Sekers. ";;;;;;
The dress has a full length flared and trained skirt, falling in panniers over the hips, wide shoulder straps and a round neckline with a gathered heart-shaped 'bustier' effect underneath. It is lightly boned with a high waist and a zip fastening. John Cavanagh designed this dress in 1953. At this time he was one of London_s most innovative young couturiers.   ;;;;;;;;
"This dress is part of the Messel Dress Collection, which includes six generations of one family_s clothes dating from 1870 - 2005."",dmas_ct004040_d01_cc1024.jpg";;;;;;;;
CT004062,Costume,Evening Coat,,Reville,c1923,,,,,Silk;" Fur,,""This evening coat was worn by Maud Messel. It is made of dark blue silk, with a modified oriental design embroidered in cream. The coat is full-length, wraps over at the front and fastens on the left with two large fabric buttons.  It has a high stand-up collar made of soft fur. The style of this coat was highly fashionable in the early 1920s and reveals Maud Messel to be an elegant and stylish dresser aged 48.  The coat is designed by Reville of London and dates from circa 1923. Reville opened as a court dressmaker in 1905, at that time it was called Reville & Rossiter. In 1910 the company was appointed court dressmakers to Queen Mary. During the early 1920s it was one the most fashionable London couturiers.    ";;;;;;;
"This coat is part of the Messel Dress Collection, which includes six generations of one family_s clothes dating from 1870 - 2005."",dmas_ct004062_d01_cc1024.jpg";;;;;;;;
"CT004114,Costume,Jacket,,Unrecorded,c1890-1910,,,,,Silk,,""This Chinese jacket was worn by Maud Messel. It is made of yellow silk brocade lined in red silk.  It is decorated around the neck, hem and on the side seams with blue silk bordered with purple silk and a black embroidered band.  The blue silk is embroidered with scenes of Chinese people around a lake.  The jacket is calf length, it has wide sleeves with wide blue silk turned back cuffs, embroidered with large stylised fruit and flowers.  It is collarless and fastens at the side.    It is likely that this jacket was a present from Maud_s uncle Edgar Herapath, who traveled in China.  Jackets were popular tourist souvenirs as they were easily transportable. It was made in China to be worn by a Han woman, in circa 1890-1910.  It is unlikely that Maud wore this jacket as only the most avant garde women in this period wore Chinese dress.  But it would have appealed to her romantic interest in the _Orient_.  ";;;;;;;;
"This jacket is part of the Messel Dress Collection, which includes six generations of one family_s clothes dating from 1870 - 2005."",dmas_ct004114_d01_cc1024.jpg";;;;;;;;
CT004209,Costume,Evening Dress,,Unrecorded,c1907-1908,,,,,Velvet;" Glass,,""This ball dress was worn by Maud Messel. It is made of purple velveteen.  It is full length with a large train trimmed with frills of purple silk. The boned bodice has a turned back collar revealing inner layers of cream net and cream guipure lace with purple drawstrings. The high waist is decorated front and back with metal edged velveteen bows set with purple gems. A long cream guipure lace 'scarf' is attached at the centre back of the waist, this drapes over the shoulders, hangs down the front of the skirt, and is secured at the right side of the waist with a bow. The scarf is trimmed at the ends with pink tassels. The dress has elbow length open sleeves trimmed with beaded tassels and long net under sleeves.  The designer of the dress is unknown and it dates from circa 1907 -1908.  It is an example of Maud Messel's fashionable evening wear of this period.   ";;;;;;;
"This dress is part of the Messel Dress Collection, which includes six generations of one family's clothes dating from 1870 - 2005."",dmas_ct004209_d01_cc1024.jpg";;;;;;;;
CT004217,Costume,Coat,,Unrecorded,1910,,,,,Animal fur;" Satin,,""This jacket was worn by Marion Sambourne in a photograph taken in 1910. It is made of brown beaver fur lined with cream satin.  The collar, lapels, and turned back cuffs are made of black grosgrain edged with silver braid.  The lapels are embroidered with a fleur-de-lys motif. The jacket has a pouched bodice, full sleeves, a fitted waist and heavy black buttons and loop fastenings.  The jacket is of a style more popular in 1905 revealing that by 1910 aged 59, Marion was out of touch with contemporary fashions.  The designer of the jacket is unknown.  ";;;;;;;
"This jacket is part of the Messel Dress Collection, which includes six generations of one family_s clothes dating from 1870 - 2005."",dmas_ct004217_d01d_cc1024.jpg";;;;;;;;
"CT004369,Costume,Muff,,Unrecorded,c1930s,,,,,Fur,,""This muff, made in the 1930s, was worn by Anne, Countess of Rosse.  It is made of black fur lined with black satin.  ";;;;;;;;
"This muff is part of the Messel Dress Collection, which includes six generations of one family_s clothes dating from 1870 - 2005."",dmas_ct004369_d01_cc1024.jpg";;;;;;;;
"CT004377,Costume,Evening Dress,,Irene Gilbert,c1960,,,,,Silk,,""This evening dress was worn by Anne, Countess of Rosse in 1960. It is made of cream silk, embroidered with large deep pink carnations with black stems. The dress has a fitted bodice, decorated with an embroidered carnation appliqu‚d below the halter neckline. It is likely that Anne added this decoration herself as she frequently personalised her clothing. The skirt of the dress is full length, with a train and padded box pleats at the hips. It is designed by Irene Gilbert of Dublin. When Anne, Countess of Rosse moved to Ireland, after her marriage to Michael, 6th Earl of Rosse in 1935, she bought many of her clothes from Irish designers. Irene Gilbert was her favourite Irish couturier. Gilbert said of Anne ,_When I make something for her, it combines the best of our ideas._  ";;;;;;;;
"The dress is part of the Messel Dress Collection, which includes six generations of one family_s clothes dating from 1870 - 2005."",dmas_ct004377_d01_cc1024.jpg";;;;;;;;
CT004639,Costume,Shoes,,Unrecorded,Mid 19C,,,,Turkish,Leather; Silk,,This is a pair of dark pink leather shoes made in Turkey in the mid nineteenth century.   The shoes have a pointed toe and are decorated with gold flowers and pink silk tassels with the flat leather soles imprinted with six hearts.   These shoes were made in Turkey for people to buy in Europe. Turkish-inspired items were very popular from the late eighteenth century onwards - turbans were worn by women for eveningwear and by men with their nightgowns and banyans (dressing gowns). Imported Turkish accessories were an easy way to add an exotic touch to an outfit.,dmas_ct004639_d01_cc1024.jpg;;;;;;;
"CT004999,Costume,Trousers,,Maharishi,1999,,,,,Cotton,,""This is a pair of grey cotton Maharishi trousers made in 1999.";;;;;;;;
These trousers are loose fitting with a drawstring waist, tucks at the knee and drawstring around the hem. On the back of the right leg is a large embroidered dragon in pink, black and camouflage designed by graffiti artist Steven Tsang. On the back of the right leg is a smaller embroidered rabbit (also in camouflage) with the numbers 63, 75, 87 and 99. The trousers were made in the Chinese Year of the Rabbit (1999) hence the embroidered rabbit, the other figures refer to the last four years of the rabbit.;;;;;;;;
"These trousers with their modern style and shape (they look like lightweight combat trousers), design by a graffiti artist and references to Chinese culture make these a typical Maharishi piece. Maharishi was founded by Hardy Blechman in 1995 and it is his combination of combat wear, modern design and Asian imagery which has earned the label cult status."",dmas_ct004999_d01g_cc1024.jpg";;;;;;;;
"CT005000,Costume,T-shirt,,Comme des Garcons,1999,,,,,Cotton,,""This is a red cotton Commes des Garcon t - shirt made in London in 1999.";;;;;;;;
This t- shirt is long sleeved with a round neck with some of the seams intentionally sown to reveal the hem.;;;;;;;;
Commes des Gracons was founded by the Japanese-born designer Rei Kawakubi in 1969.  She is known for her visionary designs, this t - shirt is one of her more understated designs although the exposed seams indicate a design twist .;;;;;;;;
This is a red cotton Commes des Garcon t - shirt made in London in 1999.;;;;;;;;
This t- shirt is long sleeved with a round neck with some of the seams intentionally sown to reveal the hem.;;;;;;;;
"Commes des Gracons was founded by the Japanese-born designer Rei Kawakubi in 1969.  She is known for her visionary designs, this t - shirt is one of her more understated designs although the exposed seams indicate a design twist ."",dmas_ct005000_d01g_cc1024.jpg";;;;;;;;
CT005129,Costume,Dressmaking Pattern,,Butterick,c1950,,,,,Paper;" Paper tissue,,""This is a paper pattern in an envelope for men's pyjamas made by Butterick, New York, USA. The pattern pieces have been cut out. The front of the envelope is printed with the design of the pyjamas. The back of the envelope has details of the amount of fabric required and a visual description of all the pattern pieces included.  ";;;;;;;
"The copyright printed on the envelope is late1920_s. This pattern dates from the late 1940_s, showing that the design had not changed in 20 years. Pyjamas of this style are still popular today."",dmas_ct005129_d01_cc1024.jpg";;;;;;;;
CT005130,Costume,Dressmaking Pattern,,Simplicity,c1960,,,,,Paper;" Paper tissue,,""This is a one-size paper dress pattern in a paper envelope, made by Simplicity, London in circa 1960.";;;;;;;
The garment the pattern is for is described as a 'Misses One-piece dress with two skirts and cummerbund'. The front of the envelope is printed with illustrations of two different ways the dress can be made.  One of the drawings is of black cocktail dress, with a fitted skirt, the other a floral day dress with a full skirt.  The reverse of the envelope has details of the fabric required for the various styles and a visual description of the pattern pieces included. ;;;;;;;;
"This pattern was purchased from Hunt Brothers, 2/3, West Street, Horsham for 2 shillings."",dmas_ct005130_d01_cc1024.jpg";;;;;;;;
CT005131,Costume,Dressmaking Pattern,,Simplicity,c1965,,,,,Paper;" Paper tissue,,""This is a one-size paper dress pattern in paper envelope made by Simplicity, London in circa 1965. ";;;;;;;
The garment the pattern is for is described as a 'Misses One-piece dress in two lengths with lace over-blouse and lace top'. The pattern pieces have been cut out. The front of the envelope is printed with colour illustrations of five outfits in black and white, lace and satin. These are all a variation on the basic paper pattern pieces.  On the reverse of the envelope are details of the pattern pieces included, the variety of styles that can be made from them and of how much fabric is required. ;;;;;;;;
"The pattern is size 16 and is priced 4 shillings and 6 pence."",dmas_ct005131_d01_cc1024.jpg";;;;;;;;
CT005132,Costume,Dressmaking Pattern,,Simplicity,c1955,,,,,Paper;" Paper tissue,,""This is a one- size paper pattern for a blouse in a paper envelope made by Simplicity, London in circa 1955.";;;;;;;
The garment the pattern is for is described as a 'Misses One Yard Blouse', sleeveless, with three different detail finishes'. The pattern pieces have been cut out.  The front of the envelope has a colour illustration of three sleeveless tops for daywear; the basic pattern shown in a striped fabric with collar and small ribbon, a button fronted version with collar and a bow and the yellow top with pockets and minimal neck detail. The reverse of the envelope has details of the fabric required for the various styles and a visual description of the pattern pieces included. ;;;;;;;
This pattern was purchased from, Hunt Brothers, 2/3 West St., Horsham, paper patterns dept'. The price printed on the envelope is two shillings and sixpence.;;;;;;;;
"A selling point for the pattern is that the garment will only require one yard (90cms) of fabric, making it an inexpensive garment."",dmas_ct005132_d01_cc1024.jpg";;;;;;;;
CT005133,Costume,Dressmaking Pattern,,Simplicity,c1955,,,,,Paper;" Paper tissue,,""This is a one-size paper dress pattern in paper envelope made by Simplicity, London circa 1955.";;;;;;;
The garment the pattern is for is described as a _Misses one-piece dress with two skirts'.  The pattern pieces have been cut out.  The front of the envelope has a colour illustration of two dresses both have the same fitted bodice, the white dress has a more fitted skirt and the coral coloured on has a full skirt. Reminiscent of Dior_s New Look the illustration evokes a glamorous image with the full- skirted design, gloves and the pearls.  The reverse of the envelope has a line illustration of the back views of the dresses. ;;;;;;;;
"This pattern was purchased from, 'Hunt Brothers, 2/3 West St., Horsham. Paper Pattern Dept_. The price printed on the pattern envelope is three shillings and sixpence."",dmas_ct005133_d01_cc1024.jpg";;;;;;;;
CT005134,Costume,Dressmaking Pattern,,Butterick,c1965,,,,,Paper;" Paper tissue,,""This is a one-size paper dress pattern in a paper envelope made by Simplicity, England circa 1965.";;;;;;;
The garment the pattern is for is described as a 'Misses' one or two piece dress', titled '1-2-3 Shift!'  The pattern pieces have been cut out.  The front of the envelope has two black and white photographs, one depicting a long sleeved dress version of the pattern the other a short sleeved, boat necked top with a tie round the waist and a skirt. There are small colour illustrations indicating further variations on the basic pattern. The reverse of the envelope has details of the fabric required for the various styles and a visual description of the pattern pieces included. The price printed on the envelope is four shillings.;;;;;;;;
"The use of this style of photography and typography on the pattern envelope lends itself to the modern, progressive sixties image."",dmas_ct005134_d01_cc1024.jpg";;;;;;;;
CT005135,Costume,Dressmaking Pattern,,Vogue,c1960,,,,,Paper;" Paper tissue,,""This is a one- size paper dress pattern in paper wallet made by Vogue, England, UK circa 1960";;;;;;;
The garments the pattern is for are described as a one-piece dress and coat.  The pattern pieces have been cut out.  The front of the envelope has a colour illustration depicts the three quarter length sleeved, knee length coat and fitted dress in two different ways.  The coat with three large buttons in a blue/green colour and the dress in a patterned fabric of white, blue and grey is suited to daywear.  The charcoal coloured coat with the matching dress also illustrated is accessorised with white gloves and pearl necklace and earrings suggesting this outfit is for eveningwear. The reverse of the envelope has three line illustrations of the back of the garments and fabric requirements. The price printed on the envelope is six shillings.;;;;;;;;
"The Vogue patterns projected a similar image to the dressmaking customer as that of the magazine, stylish, glamorous and superior."",dmas_ct005135_d01_cc1024.jpg";;;;;;;;
CT005136,Costume,Dressmaking Pattern,,Vogue,1958,,,,,Paper;" Paper tissue,,""This is one-size paper pattern in paper envelope made and made by Vogue in England circa 1958.";;;;;;;
The garment the pattern is for is a blouse; there are variations on the sleeve length and neck detail.  The pattern has been cut out.  The illustration on the front of the envelope depicts three fitted tops suited for daywear. The blue blouse, which is basis for the other two styles, includes two vents in the front hemline and a short neck opening with three buttons. The white blouse has the addition of short sleeves, while the yellow blouse has long sleeves and a _peter pan_ collar.  The reverse of the envelope has line illustrations indicating the details of the back of the blouse and fabric requirements and visual description of the pattern pieces included. ;;;;;;;
"This pattern was purchased from, 'Hunt Brothers, 2-3 West St., Horsham. Paper Pattern Dept.'. The price printed on the envelope is two shillings and six pence."",dmas_ct005136_d01_cc1024.jpg";;;;;;;;
CT005137,Costume,Dressmaking Pattern,,Vogue,c1965,,,,,Paper;" Paper tissue,,""This is a one-size paper dress pattern in a paper envelope made by Vogue and made in the UK circa 1965 ";;;;;;;
The garment the pattern is for is described as an evening dress with two variations, long and short length, with or without sleeves. The pattern pieces have been cut out.  The reverse of the envelope has line illustrations indicating the details of the back of the dresses, fabric requirement and a visual description of the pattern pieces included.The front of the envelope has colour illustrations of two evening dresses. The black dress, is a knee-length and short-sleeved it is accessorised with long white gloves and decorative belt. The long white dress is illustrated giving a back-view, it sleeveless, has a loose back panel giving it fullness; it is accessorised with long black gloves.  The illustration of the long white dress evokes a glamorous, regal image of the design. The Vogue patterns projected a similar image to the dressmaking customer as that of the magazine, stylish, glamorous and superior. ;;;;;;;
"This pattern was purchased from, 'Hunt Brothers, 2-3 West St., Horsham. Paper Pattern Dept.'. The price printed on the envelope is six shillings."",dmas_ct005137_d01_cc1024.jpg";;;;;;;;
CT005138,Costume,Dressmaking Pattern,,Vogue,c1960,,,,,Paper;" Paper tissue,,""This is a one-size paper pattern in a paper envelope made by Vogue and printed in the UK circa 1960.";;;;;;;
The garment the pattern is for is described as an A-line knee length skirt with three options. The pattern pieces have been cut out.  The front of the envelope has colour illustrations showing the three different waist finishes; a waistband, an invisible waistband and the green skirt with the addition of a belt. The two smaller illustrations give further ideas for fabrics that could be used.  The styles of skirts are plain and suggest serviceable fabrics for all seasons and would be suitable for daywear with the exception of the green skirt (top left).  The green skirt is illustrated in a satin damask fabric, suggesting it its suitability for a special occasion. A classic style like this would mean the pattern would be reused many times making it good value. The reverse of the envelope has line illustrations indicating the details of the back of the skirts, fabric requirement and a visual description of the pattern pieces included. ;;;;;;;
"This pattern was purchased from, 'Hunt Brothers, 2-3 West St., Horsham. Paper Pattern Dept.'. The price on the envelope is three shillings."",dmas_ct005138_d01_cc1024.jpg";;;;;;;;
CT005139,Costume,Dressmaking Pattern,,Simplicity,c1960,,,,,Paper;" Paper tissue,,""This is a one-size paper dress pattern in a paper envelope it was made by Simplicity and made in the UK circa 1960.";;;;;;;
The garment the pattern is for is described as a blouse, with or without sleeves and skirt in two lengths and belt. The pattern pieces have been cut out.  The front of the envelope has colour illustrations depicting three outfits; a red long sleeve blouse with a full white skirt, a sleeveless black blouse with a floral print, full skirt and a sleeveless blouse with slim fitting long skirt in a floral print.  The outfits are suited to eveningwear. The reverse of the envelope has details of the fabric required and a visual description of the pattern pieces included. ;;;;;;;
"This pattern was purchased from, 'Chart & Lawrence_. The price printed on the envelope is three shillings and six pence."",dmas_ct005139_d01_cc1024.jpg";;;;;;;;
CT005140,Costume,Dressmaking Pattern,,Vogue; Pierre Cardin,c1960,,,,,Paper; Paper tissue;" Cellophane,,""This is a one-size paper dress pattern in a paper wallet and a cellophane wallet made by Pierre Cardin for Vogue and made in the USA circa 1960.";;;;;
The outfit this pattern is for is a skirt, top and coat. The pattern is a _Vogue Paris Original it is in a large paper envelope and an additional cellophane wallet. The pattern pieces have been cut out. The front of the envelope has a banner across the top in the colours of the French flag, blue, white and red which bears the words _Vogue Paris Original_. On the right hand side is a colour illustration of two outfits, a skirt and top with a second illustration with the addition of a coat.  It is depicted in the same blue floral fabric accessorised.  The left of the envelope, unlike other patterns at this time has a photograph like a page from Vogue. The reverse of the envelope has fabric requirements, line illustrations of the back views and a visual description of the pattern pieces.  On the flap of the envelope is a statement _straight from Paris to you-the fashion in this envelope. Your Paris Original_._  Included in the pattern was a label _Vogue Original_. The price printed on the envelope is three dollars.;;;;;;;;
"The outfit is almost secondary to the to the Vogue brand.  Everything from the cellophane wrap on the large envelope, imagery, designer name from the fashion capital, Paris, down to the sew-in label bearing the _Vogue_ name elevates the garment from being merely homemade into something with a brand name that suggested, style, exclusivity (wealth) and glamour."",dmas_ct005140_d01_cc1024.jpg";;;;;;;;
CT005141,Costume,Dressmaking Pattern,,Simplicity,1966,,,,,Paper;" Paper tissue,,""This is a one-size paper pattern in a paper envelope it was made by Simplicity and made in England circa 1966";;;;;;;
The garment the pattern is for is a coat, with three variations. On the front of the envelope there are three above the knee length coats they have raglan sleeves. The coat in the middle is blue with three buttons it has a notched collar and pockets with flaps.  The ochre coloured coat has a belt and is shown done up to the neck.  Both coats are suited to daywear.  The third coat illustrated in a black and white fabric has a black fur collar (to be purchased separately), suitable for a more glamorous occasion. The reverse of the envelope shows the back of the garments, has details of the fabric required for the garment and a visual description of the pattern pieces included.  ;;;;;;;;
"This pattern was purchased from Chart and Lawrence and bears the stamp 'Chart & Lawrence' Patterns not exchangeable'. The price printed on the envelope is five shillings."",dmas_ct005141_d01_cc1024.jpg";;;;;;;;
CT005142,Costume,Dressmaking Pattern,,Vogue,c1965,,,,,Paper;" Paper tissue,,""This is a one-size dress pattern in a paper envelope it was made by Vogue and made in England, UK 1965.";;;;;;;
The garment the pattern is for is described as a one-piece dress with two variations for the 'Vogue, young fashionables' range.  The pattern has been cut out.  The colour illustration on the front of the envelope is of two above-the-knee dresses.   The green dress has a fitted bodice with long sleeves; the dress on the right has short sleeves and is two-tone with a blue bodice and white skirt.  The reverse of the envelope illustrates the rear view of the dresses and gives details of fabric required.  Included in the pattern was a label to sew into the finished garment, _Vogue, young fashionables_.  This pattern was purchased from, 'Hunt Brothers, 2-3 West St., Horsham. Paper Pattern Dept.'. The price printed on the envelope is five shillings and sixpence.;;;;;;;
"The inclusion of the label bearing the name _Vogue_ would elevate the garment from being homemade into something with a brand name that suggested, style, exclusivity, wealth and glamour."",dmas_ct005142_d01_cc1024.jpg";;;;;;;;
CT005143,Costume,Dressmaking Pattern,,Daily Telegraph,1964,,,,,Paper;" Paper tissue,,""This is a one-size paper pattern in a paper envelope it was made for The Daily Telegraph (newspaper) and made in the UK circa 1964.";;;;;;;
The garments this pattern is for is a dress and jacket there are two variations. The pattern pieces have been cut out.  On the front of the envelope it reads the _Daily Telegraph_ in the same typeface as the paper.  The line illustrations in black and white are of three outfits.  The illustration on the left shows the semi-fitted jacket with a tie-front and three quarter length sleeves, this is worn over a dress. The illustration in the middle depicts the short-sleeved version of the dress with a rolled collar.  The third, smaller illustration of the outfit is of a floral dress with a round neckline and a reversible jacket. The jacket has floral fabric one side and is plain on the other side.  The reverse of the envelope illustrates the back and front views of the garments, including a sleeveless version of the dress, and has details of the fabric required for the various styles. ;;;;;;;;
"The pattern is in its original postal envelope dated 2 June 1964, addressed to 'Miss H Cunningham, Lynmede, Chesworth Close, Horsham'."",dmas_ct005143_d01_cc1024.jpg";;;;;;;;
CT005144,Costume,Dressmaking Pattern,,Simplicity,c1960,,,,,Paper;" Paper tissue,,""This is a one-size paper dress pattern in a paper envelope it was made by Simplicity and made in England circa 1960";;;;;;;
The garments the pattern is for are described as a 'Junior Misses and Teen Age overblouse and skirt'.  The pattern pieces have been cut out.  The front of the envelope has colour illustrations of the outfit in different colours and fabrics.  The skirt and top in the right is grey with black and white spots, the top has a black collar and bow and has a black bow across the stomach.  The outfit on the left is a coral coloured skirt with a paler coloured top.  A smaller illustration shows the top of the skirt.  The skirt is slim fitting and darted at the waist.  The top is darted and has vents and the sleeves are not fitted.  One of the selling points of the pattern is it is _simple to make_, the lack of fitted sleeves and simple peter-pan collar will contribute to this, attracting the beginner or less skilled home-dressmaker. The reverse of the envelope shows line drawings of the back of the garments, has details of the fabric required for the garment and a visual description of the pattern pieces included.;;;;;;;;
" The price printed on the envelope is three shillings."",dmas_ct005144_d01_cc1024.jpg";;;;;;;;
CT005145,Costume,Dressmaking Pattern,,Simplicity,1960,,,,,Paper;" Paper tissue,,""This is a one-size paper dress pattern in a paper envelope it was made by Simplicity and made in England circa 1960.";;;;;;;
The garment the pattern is for is described as a 'Misses' blouse', there are four variations. The front of the envelope has colour illustrations of the four variations of the blouse.  The two blouses on the left, one with short sleeves one with long sleeves have no collar giving the garment a more casual appearance.  The blouses on the right have a tie at the neck giving a more formal garment.  The reverse of the envelope shows line drawings of the back of the garments, has details of the fabric required for the garment and a visual description of the pattern pieces included.;;;;;;;;
"The pattern was purchased from, 'Hunt Brothers, 2/3 West Street, Horsham, Paper Patterns Dept'. The price printed on the envelope is three shillings and sixpence."",dmas_ct005145_d01_cc1024.jpg";;;;;;;;
CT005146,Costume,Dressmaking Pattern,,Simplicity,1959,,,,,Paper;" Paper tissue,,""This is a one-size paper dress pattern in a paper envelope it was made by Simplicity and made in England circa 1959.";;;;;;;
The garments the pattern is for are described as a 'Misses' one-piece dress and jumper', it has been cut out. The front of the envelope has colour illustrations of the garments. In the foreground is the one-piece dress with centre front seam, fold over collar, Kimono style sleeves and a full skirt reminiscent of the _New Look_ by Dior.  The _jumper_ is depicted in the other two illustrations; it is sleeveless with a deep V to waist and has a gathered skirt with button closing and patch pockets.  The image is of a glamorous housewife. The reverse of the envelope shows line drawings of the back of the garments, has details of the fabric required for the garment and a visual description of the pattern pieces included.  ;;;;;;;
"The price printed on the envelope is three shillings and sixpence."",dmas_ct005146_d01_cc1024.jpg";;;;;;;;
CT005147,Costume,Dressmaking Pattern,,Vogue,c1960,,,,,Paper;" Paper tissue,,""This is a one-size paper dress pattern in a paper envelope it was made by Vogue and made in England circa 1960.";;;;;;;
The garment the pattern is for is described as a bride or bridesmaid's dress, bolero jacket, and petticoat it has been cut out.  The front of the envelope has colour illustrations of the dresses showing, variations in length of skirt and different fabrics. The design has a simple fitted bodice with a bell-shaped skirt with gathers at the waist in a duchesse silk with a lace bolero jacket, the small illustration shows the dress without the bolero. The knee length version of the dress is shown in lace. The reverse of the envelope shows line drawings of the back of the garments and has details of the fabric required for the garment. ;;;;;;;;
"The price printed on the envelope is six shillings."",dmas_ct005147_d01_cc1024.jpg";;;;;;;;
CT005148,Costume,Dressmaking Pattern,,Butterick,1959,,,,,Paper;" Paper tissue,,""This is a one-size paper dress pattern in a paper envelope it was made in New York by Butterick and made in England circa 1960.";;;;;;;
The garment the pattern is for is described as a 'robe' (housecoat, dressing gown) there are three variations. The pattern has been cut out.  The colour illustrations of the three garments on the front of the envelope depict the three variations of pattern, the small line drawings show the back detail. The reverse of the envelope has details of the fabric required for the garment and a visual description of the pattern pieces included. The name and date of purchaser/owner is written on the front of the envelope, ' Cunningham 31/12/59'. The price printed on the envelope is two shillings.;;;;;;;;
"The _housecoat_ was a garment worn over clothes to protect them from getting dirt or marks on when doing household tasks.  Clothes in the fifties were not washed as frequently as we would today, and household tasks were often dirtier then with the cleaning of open fires being common and less labour saving devices in the home."",dmas_ct005148_d01_cc1024.jpg";;;;;;;;
CT005149,Costume,Dressmaking Pattern,,Simplicity,c1960,,,,,Paper;" Paper tissue,,""This is a one- size paper dress pattern in a paper wallet it was made in England by Simplicity in circa 1960";;;;;;;
The garment the pattern is for is a one-piece sheath dress there are three variations.  The pattern has been cut out.  The colour illustrations of the three dresses on the front of the envelope show the three variations of the pattern. The fitted summer dresses are suited for daywear.  The variations include: a contrast panel of colour and a tie belt, lace insertions on the white dress and the addition of short sleeves, a belt and pocket flaps on the ochre coloured dress. The reverse of the envelope has line illustrations of the back detail of the dresses, a visual description of all the pattern pieces required and how much fabric is required for the garment.;;;;;;;;
"The price printed on the envelope is three shillings and sixpence."",dmas_ct005149_d01_cc1024.jpg";;;;;;;;
CT005150,Costume,Dressmaking Pattern,,Vogue; Patou,1961,,,,,Paper; Paper tissue;" Cellophane,,""This is a one-size paper dress pattern in a paper envelope and a cellophane wallet it was made by Jean Patou for Vogue and made in London, England circa 1961.";;;;;
The garment for this pattern is a one-piece dress and stole, short and long length variations. The pattern is a _Vogue Paris Original_ made by Jean Patou. The pattern pieces have been cut out. The front of the envelope has a banner across the top in the colours of the French flag, blue, white and red, which bears the words _Vogue Paris Original_ and the signature of the designer. On the right hand side is a colour illustration of three outfits.  The dress is shown as a knee length daywear version and another as a glamorous long length with the addition of the stole. The third illustration depicts a black, long sleeved, knee length dress. The left of the envelope, has a photograph of a model wearing the garment like a page from Vogue. ;;;;;;;;
The reverse of the envelope has fabric requirements, line illustrations of the back views and a visual description of the pattern pieces.  On the flap of the envelope is a statement _straight from Paris to you-the fashion in this envelope. Your Paris Original_._ Included in the pattern was a sew-in label _Vogue Original_. The price printed on the envelope is ten shillings.;;;;;;;;
"The outfit is almost secondary to the to the Vogue brand.  Everything from the cellophane wrap on the large envelope, imagery, designer name from the fashion capital, Paris, down to the sew-in label bearing the _Vogue_ name would elevate the garment from being merely homemade into something with a brand name that suggests, style, exclusivity (wealth) and glamour."",dmas_ct005150_d01_cc1024.jpg";;;;;;;;
CT005151,Costume,Dressmaking Pattern,,Vogue; Pierre Cardin,c1960,,,,,Paper;" Paper tissue,,""This is a one- size paper dress pattern in a paper wallet made by Pierre Cardin for Vogue and made in USA circa 1960.";;;;;;
